PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,
1,103560859,44447202,Unspecified,,,,69.1831,GI50,=,69183.1,nM
2,174485877,72197692,Active,,,,2.0893,GI50,=,2089.3,nM
3,174490888,71680187,Active,,,,16.9824,GI50,=,16982.4,nM
4,174495906,71680349,Unspecified,,,,100,GI50,=,100000,nM
5,174501159,72197691,Active,,,,3.0903,GI50,=,3090.3,nM
6,174501160,72197868,Active,,,,25.704,GI50,=,25704,nM
7,194182360,11813755,Unspecified,,,,100,GI50,=,100000,nM
